REP,Treatment,Application,Stage,Crop,Soybean,RateUS,Dilution,RateM,DAT,IR
1,78,2,R2 (Full flower),6,Grape,0.01067,1/1500,0.37345,22,5
2,78,2,R2 (Full flower),6,Grape,0.01067,1/1500,0.37345,22,5
3,78,2,R2 (Full flower),6,Grape,0.01067,1/1500,0.37345,22,5
4,78,2,R2 (Full flower),6,Grape,0.01067,1/1500,0.37345,22,10
1,77,2,R2 (Full flower),6,Grape,0.016,1/1000,0.56,22,5
2,77,2,R2 (Full flower),6,Grape,0.016,1/1000,0.56,22,5
3,77,2,R2 (Full flower),6,Grape,0.016,1/1000,0.56,22,1
4,77,2,R2 (Full flower),6,Grape,0.016,1/1000,0.56,22,5
1,76,2,R2 (Full flower),6,Grape,0.032,1/500,1.12,22,10
2,76,2,R2 (Full flower),6,Grape,0.032,1/500,1.12,22,5
3,76,2,R2 (Full flower),6,Grape,0.032,1/500,1.12,22,10
4,76,2,R2 (Full flower),6,Grape,0.032,1/500,1.12,22,5
1,75,2,R2 (Full flower),6,Grape,0.16,1/100,5.6,22,10
2,75,2,R2 (Full flower),6,Grape,0.16,1/100,5.6,22,5
3,75,2,R2 (Full flower),6,Grape,0.16,1/100,5.6,22,10
4,75,2,R2 (Full flower),6,Grape,0.16,1/100,5.6,22,10
1,74,2,R2 (Full flower),6,Grape,1.6,10-Jan,56,22,10
2,74,2,R2 (Full flower),6,Grape,1.6,10-Jan,56,22,30
3,74,2,R2 (Full flower),6,Grape,1.6,10-Jan,56,22,10
4,74,2,R2 (Full flower),6,Grape,1.6,10-Jan,56,22,30
1,67,2,R2 (Full flower),5,Organic,0,0,0,22,0
2,67,2,R2 (Full flower),5,Organic,0,0,0,22,0
3,67,2,R2 (Full flower),5,Organic,0,0,0,22,0
4,67,2,R2 (Full flower),5,Organic,0,0,0,22,0
1,72,2,R2 (Full flower),5,Organic,0.01067,1/1500,0.37345,22,10
2,72,2,R2 (Full flower),5,Organic,0.01067,1/1500,0.37345,22,10
3,72,2,R2 (Full flower),5,Organic,0.01067,1/1500,0.37345,22,20
4,72,2,R2 (Full flower),5,Organic,0.01067,1/1500,0.37345,22,10
1,71,2,R2 (Full flower),5,Organic,0.016,1/1000,0.56,22,20
2,71,2,R2 (Full flower),5,Organic,0.016,1/1000,0.56,22,20
3,71,2,R2 (Full flower),5,Organic,0.016,1/1000,0.56,22,20
4,71,2,R2 (Full flower),5,Organic,0.016,1/1000,0.56,22,15
1,70,2,R2 (Full flower),5,Organic,0.032,1/500,1.12,22,20
2,70,2,R2 (Full flower),5,Organic,0.032,1/500,1.12,22,20
3,70,2,R2 (Full flower),5,Organic,0.032,1/500,1.12,22,30
4,70,2,R2 (Full flower),5,Organic,0.032,1/500,1.12,22,20
1,69,2,R2 (Full flower),5,Organic,0.16,1/100,5.6,22,50
2,69,2,R2 (Full flower),5,Organic,0.16,1/100,5.6,22,30
3,69,2,R2 (Full flower),5,Organic,0.16,1/100,5.6,22,30
4,69,2,R2 (Full flower),5,Organic,0.16,1/100,5.6,22,30
1,68,2,R2 (Full flower),5,Organic,1.6,10-Jan,56,22,70
2,68,2,R2 (Full flower),5,Organic,1.6,10-Jan,56,22,70
3,68,2,R2 (Full flower),5,Organic,1.6,10-Jan,56,22,70
4,68,2,R2 (Full flower),5,Organic,1.6,10-Jan,56,22,50
1,79,2,R2 (Full flower),7,Tomato,0,0,0,22,0
2,79,2,R2 (Full flower),7,Tomato,0,0,0,22,0
3,79,2,R2 (Full flower),7,Tomato,0,0,0,22,0
4,79,2,R2 (Full flower),7,Tomato,0,0,0,22,0
1,84,2,R2 (Full flower),7,Tomato,0.01067,1/1500,0.37345,22,10
2,84,2,R2 (Full flower),7,Tomato,0.01067,1/1500,0.37345,22,20
3,84,2,R2 (Full flower),7,Tomato,0.01067,1/1500,0.37345,22,30
4,84,2,R2 (Full flower),7,Tomato,0.01067,1/1500,0.37345,22,20
1,83,2,R2 (Full flower),7,Tomato,0.016,1/1000,0.56,22,10
2,83,2,R2 (Full flower),7,Tomato,0.016,1/1000,0.56,22,20
3,83,2,R2 (Full flower),7,Tomato,0.016,1/1000,0.56,22,10
4,83,2,R2 (Full flower),7,Tomato,0.016,1/1000,0.56,22,10
1,82,2,R2 (Full flower),7,Tomato,0.032,1/500,1.12,22,30
2,82,2,R2 (Full flower),7,Tomato,0.032,1/500,1.12,22,10
3,82,2,R2 (Full flower),7,Tomato,0.032,1/500,1.12,22,20
4,82,2,R2 (Full flower),7,Tomato,0.032,1/500,1.12,22,30
1,81,2,R2 (Full flower),7,Tomato,0.16,1/100,5.6,22,30
2,81,2,R2 (Full flower),7,Tomato,0.16,1/100,5.6,22,20
3,81,2,R2 (Full flower),7,Tomato,0.16,1/100,5.6,22,20
4,81,2,R2 (Full flower),7,Tomato,0.16,1/100,5.6,22,20
1,80,2,R2 (Full flower),7,Tomato,1.6,10-Jan,56,22,95
2,80,2,R2 (Full flower),7,Tomato,1.6,10-Jan,56,22,50
3,80,2,R2 (Full flower),7,Tomato,1.6,10-Jan,56,22,40
4,80,2,R2 (Full flower),7,Tomato,1.6,10-Jan,56,22,40
